font,anyo,id_territori,territori,nivel_territorial,categoria,subcategoria,indicador,valor,unitat,nota
EVB,1983,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,24.9,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1984,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,25.5,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1985,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,26.2,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1986,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,25.4,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1987,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,21.6,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1988,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,17.6,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1989,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,18.0,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1990,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,17.1,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1991,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,17.0,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1992,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,13.6,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1993,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,18.0,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1994,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,15.8,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1995,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,14.1,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1996,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,14.3,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1997,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,13.4,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1998,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,14.3,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,1999,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,16.4,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,2000,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,17.3,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
EVB,2001,,Barcelona,municipi,,,index_victimitzacio_sense_ciber,18.4,percentatge,Sin ciberdelincuencia (serie histórica 1983-2023)
