anyo,id_territori,territori,desglose,categoria,subcategoria,sexe,grup_edat,valor
2010,137,Cataluña,nacionalitat,Nacionalidad española,,,,5874
2010,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,4646
2010,137,Cataluña,nacionalitat,Unión Europea,,,,598
2010,137,Cataluña,nacionalitat,Resto de Europa,,,,296
2010,137,Cataluña,nacionalitat,Magreb,,,,1500
2010,137,Cataluña,nacionalitat,África,,,,529
2010,137,Cataluña,nacionalitat,América Central y del Sur,,,,1453
2010,137,Cataluña,nacionalitat,América del Norte,,,,22
2010,137,Cataluña,nacionalitat,Próximo Oriente,,,,55
2010,137,Cataluña,nacionalitat,Asia,,,,191
2010,137,Cataluña,nacionalitat,Oceanía,,,,1
2010,137,Cataluña,nacionalitat,Apátrida,,,,1
2010,137,Cataluña,nacionalitat,Total,,,,10520
2011,137,Cataluña,nacionalitat,Nacionalidad española,,,,5695
2011,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,4818
2011,137,Cataluña,nacionalitat,Unión Europea,,,,675
2011,137,Cataluña,nacionalitat,Resto de Europa,,,,274
2011,137,Cataluña,nacionalitat,Magreb,,,,1525
2011,137,Cataluña,nacionalitat,África,,,,578
2011,137,Cataluña,nacionalitat,América Central y del Sur,,,,1581
2011,137,Cataluña,nacionalitat,América del Norte,,,,14
2011,137,Cataluña,nacionalitat,Próximo Oriente,,,,57
2011,137,Cataluña,nacionalitat,Asia,,,,113
2011,137,Cataluña,nacionalitat,Oceanía,,,,0
2011,137,Cataluña,nacionalitat,Apátrida,,,,1
2011,137,Cataluña,nacionalitat,Total,,,,10513
2012,137,Cataluña,nacionalitat,Nacionalidad española,,,,5508
2012,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,4554
2012,137,Cataluña,nacionalitat,Unión Europea,,,,650
2012,137,Cataluña,nacionalitat,Resto de Europa,,,,202
2012,137,Cataluña,nacionalitat,Magreb,,,,1430
2012,137,Cataluña,nacionalitat,África,,,,474
2012,137,Cataluña,nacionalitat,América Central y del Sur,,,,1548
2012,137,Cataluña,nacionalitat,América del Norte,,,,13
2012,137,Cataluña,nacionalitat,Próximo Oriente,,,,47
2012,137,Cataluña,nacionalitat,Asia,,,,184
2012,137,Cataluña,nacionalitat,Oceanía,,,,1
2012,137,Cataluña,nacionalitat,Apátrida,,,,5
2012,137,Cataluña,nacionalitat,Total,,,,10062
2013,137,Cataluña,nacionalitat,Nacionalidad española,,,,5467
2013,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,4351
2013,137,Cataluña,nacionalitat,Unión Europea,,,,672
2013,137,Cataluña,nacionalitat,Resto de Europa,,,,180
2013,137,Cataluña,nacionalitat,Magreb,,,,1450
2013,137,Cataluña,nacionalitat,África,,,,368
2013,137,Cataluña,nacionalitat,América Central y del Sur,,,,1450
2013,137,Cataluña,nacionalitat,América del Norte,,,,7
2013,137,Cataluña,nacionalitat,Próximo Oriente,,,,39
2013,137,Cataluña,nacionalitat,Asia,,,,174
2013,137,Cataluña,nacionalitat,Oceanía,,,,1
2013,137,Cataluña,nacionalitat,Apátrida,,,,10
2013,137,Cataluña,nacionalitat,Total,,,,9818
2014,137,Cataluña,nacionalitat,Nacionalidad española,,,,5221
2014,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,4073
2014,137,Cataluña,nacionalitat,Unión Europea,,,,668
2014,137,Cataluña,nacionalitat,Resto de Europa,,,,183
2014,137,Cataluña,nacionalitat,Magreb,,,,1283
2014,137,Cataluña,nacionalitat,África,,,,378
2014,137,Cataluña,nacionalitat,América Central y del Sur,,,,1316
2014,137,Cataluña,nacionalitat,América del Norte,,,,5
2014,137,Cataluña,nacionalitat,Próximo Oriente,,,,43
2014,137,Cataluña,nacionalitat,Asia,,,,186
2014,137,Cataluña,nacionalitat,Oceanía,,,,0
2014,137,Cataluña,nacionalitat,Apátrida,,,,11
2014,137,Cataluña,nacionalitat,Total,,,,9294
2015,137,Cataluña,nacionalitat,Nacionalidad española,,,,4982
2015,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,3828
2015,137,Cataluña,nacionalitat,Unión Europea,,,,635
2015,137,Cataluña,nacionalitat,Resto de Europa,,,,186
2015,137,Cataluña,nacionalitat,Magreb,,,,1158
2015,137,Cataluña,nacionalitat,África,,,,373
2015,137,Cataluña,nacionalitat,América Central y del Sur,,,,1218
2015,137,Cataluña,nacionalitat,América del Norte,,,,5
2015,137,Cataluña,nacionalitat,Próximo Oriente,,,,37
2015,137,Cataluña,nacionalitat,Asia,,,,215
2015,137,Cataluña,nacionalitat,Oceanía,,,,1
2015,137,Cataluña,nacionalitat,Apátrida,,,,0
2015,137,Cataluña,nacionalitat,Total,,,,8810
2016,137,Cataluña,nacionalitat,Nacionalidad española,,,,4838
2016,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,3728
2016,137,Cataluña,nacionalitat,Unión Europea,,,,607
2016,137,Cataluña,nacionalitat,Resto de Europa,,,,231
2016,137,Cataluña,nacionalitat,Magreb,,,,1114
2016,137,Cataluña,nacionalitat,África,,,,369
2016,137,Cataluña,nacionalitat,América Central y del Sur,,,,1174
2016,137,Cataluña,nacionalitat,América del Norte,,,,4
2016,137,Cataluña,nacionalitat,Próximo Oriente,,,,34
2016,137,Cataluña,nacionalitat,Asia,,,,195
2016,137,Cataluña,nacionalitat,Oceanía,,,,0
2016,137,Cataluña,nacionalitat,Apátrida,,,,0
2016,137,Cataluña,nacionalitat,Total,,,,8566
2017,137,Cataluña,nacionalitat,Nacionalidad española,,,,4750
2017,137,Cataluña,nacionalitat,Nacionalidad extranjera,,,,3617
2017,137,Cataluña,nacionalitat,Unión Europea,,,,593
2017,137,Cataluña,nacionalitat,Resto de Europa,,,,233
2017,137,Cataluña,nacionalitat,Magreb,,,,1041
2017,137,Cataluña,nacionalitat,África,,,,314
2017,137,Cataluña,nacionalitat,América Central y del Sur,,,,1181
2017,137,Cataluña,nacionalitat,América del Norte,,,,6
2017,137,Cataluña,nacionalitat,Próximo Oriente,,,,38
