anyo,id_territori,territori,nivel_territorial,sexe,valor
1998,,Abella de la Conca,municipi,Homes,98
1998,,Abella de la Conca,municipi,Dones,84
1998,,Abella de la Conca,municipi,Total,182
1998,,Abrera,municipi,Homes,3791
1998,,Abrera,municipi,Dones,3582
1998,,Abrera,municipi,Total,7373
1998,,Àger,municipi,Homes,289
1998,,Àger,municipi,Dones,253
1998,,Àger,municipi,Total,542
1998,,Agramunt,municipi,Homes,2511
1998,,Agramunt,municipi,Dones,2439
1998,,Agramunt,municipi,Total,4950
1998,,Aguilar de Segarra,municipi,Homes,104
1998,,Aguilar de Segarra,municipi,Dones,107
1998,,Aguilar de Segarra,municipi,Total,211
1998,,Agullana,municipi,Homes,325
1998,,Agullana,municipi,Dones,297
1998,,Agullana,municipi,Total,622
1998,,Aiguafreda,municipi,Homes,1047
1998,,Aiguafreda,municipi,Dones,1103
1998,,Aiguafreda,municipi,Total,2150
1998,,Aiguamúrcia,municipi,Homes,313
1998,,Aiguamúrcia,municipi,Dones,314
1998,,Aiguamúrcia,municipi,Total,627
1998,,Aiguaviva,municipi,Homes,230
1998,,Aiguaviva,municipi,Dones,225
1998,,Aiguaviva,municipi,Total,455
1998,,Aitona,municipi,Homes,1085
1998,,Aitona,municipi,Dones,1099
1998,,Aitona,municipi,Total,2184
1998,,"Alamús, els",municipi,Homes,340
1998,,"Alamús, els",municipi,Dones,339
1998,,"Alamús, els",municipi,Total,679
1998,,Alàs i Cerc,municipi,Homes,222
1998,,Alàs i Cerc,municipi,Dones,188
1998,,Alàs i Cerc,municipi,Total,410
1998,,"Albagés, l'",municipi,Homes,266
1998,,"Albagés, l'",municipi,Dones,246
1998,,"Albagés, l'",municipi,Total,512
1998,,Albanyà,municipi,Homes,69
1998,,Albanyà,municipi,Dones,62
1998,,Albanyà,municipi,Total,131
1998,,Albatàrrec,municipi,Homes,533
1998,,Albatàrrec,municipi,Dones,536
1998,,Albatàrrec,municipi,Total,1069
1998,,Albesa,municipi,Homes,729
1998,,Albesa,municipi,Dones,757
1998,,Albesa,municipi,Total,1486
1998,,"Albi, l'",municipi,Homes,395
