anyo,id_territori,territori,nivel_territorial,indicador,categoria,sexe,valor,unitat
2015,65,el Raval,barri,renta_tributaria_barri,,,23380,euros
2015,66,el Barri Gòtic,barri,renta_tributaria_barri,,,26897,euros
2015,67,la Barceloneta,barri,renta_tributaria_barri,,,23761,euros
2015,90,"Sant Pere, Santa Caterina i la Ribera",barri,renta_tributaria_barri,,,26178,euros
2015,96,el Fort Pienc,barri,renta_tributaria_barri,,,37344,euros
2015,88,la Sagrada Família,barri,renta_tributaria_barri,,,36138,euros
2015,106,la Dreta de l'Eixample,barri,renta_tributaria_barri,,,47119,euros
2015,72,l'Antiga Esquerra de l'Eixample,barri,renta_tributaria_barri,,,42125,euros
2015,117,la Nova Esquerra de l'Eixample,barri,renta_tributaria_barri,,,40483,euros
2015,118,Sant Antoni,barri,renta_tributaria_barri,,,35109,euros
2015,68,el Poble Sec,barri,renta_tributaria_barri,,,27325,euros
2015,73,la Marina del Prat Vermell,barri,renta_tributaria_barri,,,22624,euros
2015,80,la Marina de Port,barri,renta_tributaria_barri,,,29492,euros
2015,103,la Font de la Guatlla,barri,renta_tributaria_barri,,,33321,euros
2015,131,Hostafrancs,barri,renta_tributaria_barri,,,31986,euros
2015,123,la Bordeta,barri,renta_tributaria_barri,,,32656,euros
2015,121,Sants-Badal,barri,renta_tributaria_barri,,,32153,euros
2015,83,Sants,barri,renta_tributaria_barri,,,34418,euros
2015,76,les Corts,barri,renta_tributaria_barri,,,46666,euros
2015,81,la Maternitat i Sant Ramon,barri,renta_tributaria_barri,,,43353,euros
2015,112,Pedralbes,barri,renta_tributaria_barri,,,70412,euros
2015,133,"Vallvidrera, el Tibidabo i les Planes",barri,renta_tributaria_barri,,,51461,euros
2015,119,Sarrià,barri,renta_tributaria_barri,,,62638,euros
2015,116,les Tres Torres,barri,renta_tributaria_barri,,,74410,euros
2015,85,Sant Gervasi- la Bonanova,barri,renta_tributaria_barri,,,62234,euros
2015,111,Sant Gervasi- Galvany,barri,renta_tributaria_barri,,,61673,euros
2015,124,el Putxet i el Farró,barri,renta_tributaria_barri,,,46537,euros
2015,95,Vallcarca i els Penitents,barri,renta_tributaria_barri,,,44813,euros
2015,84,el Coll,barri,renta_tributaria_barri,,,32555,euros
2015,101,la Salut,barri,renta_tributaria_barri,,,40330,euros
2015,86,la Vila de Gràcia,barri,renta_tributaria_barri,,,33971,euros
