anyo,id_territori,territori,nivel_territorial,indicador,categoria,sexe,valor,unitat
2025,,España,estat,renta_neta_media,Renta neta media por persona,,15620.0,euros
2024,,España,estat,renta_neta_media,Renta neta media por persona,,14807.0,euros
2023,,España,estat,renta_neta_media,Renta neta media por persona,,14082.0,euros
2022,,España,estat,renta_neta_media,Renta neta media por persona,,13008.0,euros
2021,,España,estat,renta_neta_media,Renta neta media por persona,,12269.0,euros
2020,,España,estat,renta_neta_media,Renta neta media por persona,,12292.0,euros
2019,,España,estat,renta_neta_media,Renta neta media por persona,,11680.0,euros
2018,,España,estat,renta_neta_media,Renta neta media por persona,,11412.0,euros
2017,,España,estat,renta_neta_media,Renta neta media por persona,,11074.0,euros
2016,,España,estat,renta_neta_media,Renta neta media por persona,,10708.0,euros
2015,,España,estat,renta_neta_media,Renta neta media por persona,,10419.0,euros
2014,,España,estat,renta_neta_media,Renta neta media por persona,,10391.0,euros
2013,,España,estat,renta_neta_media,Renta neta media por persona,,10531.0,euros
2012,,España,estat,renta_neta_media,Renta neta media por persona,,10795.0,euros
2011,,España,estat,renta_neta_media,Renta neta media por persona,,10858.0,euros
2010,,España,estat,renta_neta_media,Renta neta media por persona,,11284.0,euros
2009,,España,estat,renta_neta_media,Renta neta media por persona,,11318.0,euros
2008,,España,estat,renta_neta_media,Renta neta media por persona,,10737.0,euros
2025,,España,estat,renta_neta_media,Renta media por unidad de consumo,,22943.0,euros
2024,,España,estat,renta_neta_media,Renta media por unidad de consumo,,21759.0,euros
2023,,España,estat,renta_neta_media,Renta media por unidad de consumo,,20676.0,euros
2022,,España,estat,renta_neta_media,Renta media por unidad de consumo,,19160.0,euros
2021,,España,estat,renta_neta_media,Renta media por unidad de consumo,,18103.0,euros
2020,,España,estat,renta_neta_media,Renta media por unidad de consumo,,18116.0,euros
2019,,España,estat,renta_neta_media,Renta media por unidad de consumo,,17287.0,euros
2018,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16937.0,euros
2017,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16390.0,euros
2016,,España,estat,renta_neta_media,Renta media por unidad de consumo,,15842.0,euros
2015,,España,estat,renta_neta_media,Renta media por unidad de consumo,,15408.0,euros
2014,,España,estat,renta_neta_media,Renta media por unidad de consumo,,15405.0,euros
2013,,España,estat,renta_neta_media,Renta media por unidad de consumo,,15635.0,euros
2012,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16119.0,euros
2011,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16280.0,euros
2010,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16922.0,euros
2009,,España,estat,renta_neta_media,Renta media por unidad de consumo,,17042.0,euros
2008,,España,estat,renta_neta_media,Renta media por unidad de consumo,,16190.0,euros
2025,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,17914.0,euros
2024,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,16917.0,euros
2023,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,16180.0,euros
2022,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,15086.0,euros
2021,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,14255.0,euros
2020,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,14212.0,euros
2019,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,13549.0,euros
2018,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,13223.0,euros
2017,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12841.0,euros
2016,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12347.0,euros
2015,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,11992.0,euros
2014,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12021.0,euros
2013,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,11997.0,euros
2012,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12327.0,euros
2011,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12483.0,euros
2010,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12933.0,euros
2009,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12790.0,euros
2008,,España,estat,renta_neta_media,Renta media por persona (con alquiler imputado),,12237.0,euros
2025,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,26102.0,euros
2024,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,24666.0,euros
2023,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,23574.0,euros
2022,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,22054.0,euros
2021,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,20874.0,euros
2020,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,20800.0,euros
2019,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,19903.0,euros
2018,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,19479.0,euros
2017,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,18863.0,euros
2016,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,18137.0,euros
2015,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,17612.0,euros
2014,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,17684.0,euros
2013,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,17694.0,euros
2012,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,18268.0,euros
2011,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,18584.0,euros
2010,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,19252.0,euros
2009,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,19124.0,euros
2008,,España,estat,renta_neta_media,Renta media por unidad de consumo (con alquiler imputado),,18322.0,euros
2025,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,17262.0,euros
2024,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,16546.0,euros
2023,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,15830.0,euros
2022,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,14692.0,euros
2021,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,14159.0,euros
2020,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,14170.0,euros
2019,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,13527.0,euros
2018,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,13338.0,euros
2017,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12712.0,euros
2016,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12660.0,euros
2015,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12283.0,euros
2014,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12205.0,euros
2013,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12111.0,euros
2012,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12199.0,euros
2011,137,Cataluña,ccaa,renta_neta_media,Renta neta media por persona,,12209.0,euros
