id_tipo_delito,codigo,descripcio,titol_cp,categoria,nivel_tipologia,fuente
1,,De la usurpació de l'estat civil,De les falsedats,De les falsedats,detalle,mossos
2,,Falsedats documentals,De les falsedats,De les falsedats,detalle,mossos
3,,Danys,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
4,,Estafes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
5,,"Acusació, denúncia falsa i simulació de delictes",Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
6,,Trencament de condemna,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
7,,Calúmnia,Delictes contra l’honor,Delictes contra l’honor,detalle,mossos
8,,Injúria,Delictes contra l’honor,Delictes contra l’honor,detalle,mossos
9,,Descobriment i revelació de secrets,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili","Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",detalle,mossos
10,,Amenaces,Delictes contra la llibertat,Delictes contra la llibertat,detalle,mossos
11,,Assetjament sexual,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
12,,Exhibicionisme i provocació sexual,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
13,,Relatius a la prostitució,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
14,,Contra la salut pública,Dels delictes contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,detalle,mossos
15,,Faltes contra el patrimoni,Faltes contra el patrimoni,Faltes contra el patrimoni,detalle,mossos
16,,Faltes contra les persones,Faltes contra les persones,Faltes contra les persones,detalle,mossos
17,,Lesions,De les lesions,De les lesions,detalle,mossos
18,,Tracte degradant / vexatori,De les tortures i altres delictes contra la integritat moral,De les tortures i altres delictes contra la integritat moral,detalle,mossos
19,,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
20,,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
21,,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
22,,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
23,,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
24,,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
25,,Realització arbitrària del propi dret,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
26,,Altres delictes contra l'ordre públic,Delictes contra l'ordre públic,Delictes contra l'ordre públic,detalle,mossos
27,,Entrada a domicili aliè,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili","Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",detalle,mossos
28,,Detenció il·legal,Delictes contra la llibertat,Delictes contra la llibertat,detalle,mossos
29,,Agressions sexuals i Abusos sexuals,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
30,,Conduir sense permís,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
31,,Conduir sota els efectes d'alcohol i drogues,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
32,,Negativa a sotmetre's a les proves,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
33,,Contra els drets i deures familiars,Delictes contra les relacions familiars,Delictes contra les relacions familiars,detalle,mossos
34,,Faltes contra els interessos generals,Faltes contra els interessos generals,Faltes contra els interessos generals,detalle,mossos
35,,Faltes contra l'ordre públic,Faltes contra l'ordre públic,Faltes contra l'ordre públic,detalle,mossos
36,,Obstrucció a la justícia i deslleialtat professional,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
37,,Desobediència i denegació d'auxili,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
38,,Desordres públics,Delictes contra l'ordre públic,Delictes contra l'ordre públic,detalle,mossos
39,,Conducció temerària,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
40,,Originar un greu risc per la circulació,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
41,,Homicidi per imprudència,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
42,,Usurpació de funcions públiques i intrusisme,De les falsedats,De les falsedats,detalle,mossos
43,,Usurpació,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
44,,Coaccions,Delictes contra la llibertat,Delictes contra la llibertat,detalle,mossos
45,,Incendi,Dels delictes contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,detalle,mossos
46,,Falsificació de moneda i efectes timbrats,De les falsedats,De les falsedats,detalle,mossos
47,,Defraudacions de fluid elèctric i anàlogues,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
48,,Ocupació immobles,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
49,,Receptació i altres conductes afins,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
50,,Lesions al fetus,De les lesions al fetus,De les lesions al fetus,detalle,mossos
51,,Contra els drets de ciutadans estrangers,Delictes contra els drets dels ciutadans estrangers,Delictes contra els drets dels ciutadans estrangers,detalle,mossos
52,,Malversació,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
53,,Contra els recursos naturals i el medi ambient,"Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient","Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient",detalle,mossos
54,,Homicidi Temptativa,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
55,,Velocitat penalment punible,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
56,,Contra l'ordenació del territori,"Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient","Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient",detalle,mossos
57,,Organitzacions i grups criminals,Delictes contra l'ordre públic,Delictes contra l'ordre públic,detalle,mossos
58,,Hisenda pública i seguretat social,Dels delictes contra la hisenda pública i contra la Seguretat Social,Dels delictes contra la hisenda pública i contra la Seguretat Social,detalle,mossos
59,,Homicidi Consumat,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
60,,Extorsió,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
61,,Societaris,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
62,,Assassinat Temptativa,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
63,,"Contra la llibertat de consciència, religió i respecte als difunts",Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
64,,Omissió del deure de socors,De l’omissió del deure d’auxili,De l’omissió del deure d’auxili,detalle,mossos
65,,Propietat industrial,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
66,,Contra els drets dels treballadors,Dels delictes contra els drets dels treballadors,Dels delictes contra els drets dels treballadors,detalle,mossos
67,,Avortament,De l’avortament,De l’avortament,detalle,mossos
68,,Tràfic d'éssers humans,Del tràfic d’éssers humans,Del tràfic d’éssers humans,detalle,mossos
69,,Blanqueig de capitals,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
70,,"Protecció de la flora, fauna i animals domèstics","Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient","Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient",detalle,mossos
71,,Segrest,Delictes contra la llibertat,Delictes contra la llibertat,detalle,mossos
72,,Encobriment,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
73,,Associació il·lícita,Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
74,,Defraudacions,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
75,,Propietat intel·lectual,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
76,,Contra la comunitat internacional,Delictes contra la comunitat internacional,Delictes contra la comunitat internacional,detalle,mossos
77,,Contra la seguretat viària,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
78,,Mercat i consumidors,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
79,,Assassinat Consumat,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
80,,Contra exercici drets fonamentals i llibertats públiques,Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
81,,Contra el patrimoni històric,"Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient","Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient",detalle,mossos
82,,Prevaricació de funcionaris públics,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
83,,Tràfic d'influències,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
84,,"Reunió, manifestació il·lícita",Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
85,,Insolvències punibles,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
86,,Risc catastròfic,Dels delictes contra la seguretat col·lectiva,Dels delictes contra la seguretat col·lectiva,detalle,mossos
87,,Fals testimoni,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
88,,Contra el patrimoni,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
89,,Infidelitat custòdia documents i violació secrets,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
90,,Infidelitat en la custòdia de documents i violació de secrets,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
91,,Omissió dels deures d'impedir delictes,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
92,,Fraus i exaccions il·legals,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
93,,Suborn,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
94,,Administració deslleial,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
95,,Prevaricació,Delictes contra l'Administració de justícia,Delictes contra l'Administració de justícia,detalle,mossos
96,,Abandonament lloc accident,Delictes contra la seguretat viària,Delictes contra la seguretat viària,detalle,mossos
97,,Tortures,De les tortures i altres delictes contra la integritat moral,De les tortures i altres delictes contra la integritat moral,detalle,mossos
98,,Contra les institucions de l'Estat i divisió de poders,Delictes contra la Constitució,Delictes contra la Constitució,detalle,mossos
99,,Sostracció de cosa pròpia d'utilitat social,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
100,,Frustració d'execució,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Delictes contra el patrimoni i contra l’ordre socioeconòmic,detalle,mossos
101,,Abandó de destí i omissió deure perseguir delictes,Delictes contra l'Administració pública,Delictes contra l'Administració pública,detalle,mossos
102,,Resta delictes sexuals,Delictes contra la llibertat i la indemnitat sexuals,Delictes contra la llibertat i la indemnitat sexuals,detalle,mossos
103,,Entrada a vivenda aliena,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili","Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",detalle,mossos
104,,Inducció i cooperació al suïcidi,De l’homicidi i les seves formes,De l’homicidi i les seves formes,detalle,mossos
105,,Contra la llibertat,Delictes contra la llibertat,Delictes contra la llibertat,detalle,mossos
106,,Contra els animals,Delictes contra els animals,Delictes contra els animals,detalle,mossos
