id_territorio,nom_barri,nom_districte,fecha,anyo,mes,num_incidents,afluencia_total,renta_barri,pct_baja_edu,cluster,pred_rf,error_rf,pred_xgb,error_xgb
63,el Guinardó,Horta-Guinardó,2023-01-01,2023,1,565,249.0,43041.0,10.336610967002471,0,589.5,-24.5,584.9,-19.9
63,el Guinardó,Horta-Guinardó,2023-02-01,2023,2,516,249.0,43041.0,10.336610967002471,0,579.5,-63.5,555.4,-39.4
63,el Guinardó,Horta-Guinardó,2023-03-01,2023,3,630,249.0,43041.0,10.336610967002471,0,564.9,65.1,561.5,68.5
63,el Guinardó,Horta-Guinardó,2023-04-01,2023,4,597,249.0,43041.0,10.336610967002471,0,599.4,-2.4,564.7,32.3
63,el Guinardó,Horta-Guinardó,2023-05-01,2023,5,570,249.0,43041.0,10.336610967002471,0,650.4,-80.4,677.2,-107.2
63,el Guinardó,Horta-Guinardó,2023-06-01,2023,6,656,249.0,43041.0,10.336610967002471,0,612.8,43.2,593.1,62.9
63,el Guinardó,Horta-Guinardó,2023-07-01,2023,7,694,249.0,43041.0,10.336610967002471,0,640.4,53.6,619.3,74.7
63,el Guinardó,Horta-Guinardó,2023-08-01,2023,8,600,249.0,43041.0,10.336610967002471,0,618.7,-18.7,574.7,25.3
63,el Guinardó,Horta-Guinardó,2023-09-01,2023,9,582,249.0,43041.0,10.336610967002471,0,624.8,-42.8,629.9,-47.9
63,el Guinardó,Horta-Guinardó,2023-10-01,2023,10,648,249.0,43041.0,10.336610967002471,0,602.9,45.1,605.4,42.6
63,el Guinardó,Horta-Guinardó,2023-11-01,2023,11,514,249.0,43041.0,10.336610967002471,0,599.2,-85.2,555.3,-41.3
63,el Guinardó,Horta-Guinardó,2023-12-01,2023,12,554,249.0,43041.0,10.336610967002471,0,557.2,-3.2,532.4,21.6
63,el Guinardó,Horta-Guinardó,2024-01-01,2024,1,348,249.0,43041.0,10.336610967002471,0,571.5,-223.5,544.4,-196.4
63,el Guinardó,Horta-Guinardó,2024-02-01,2024,2,382,249.0,43041.0,10.336610967002471,0,472.8,-90.8,424.9,-42.9
63,el Guinardó,Horta-Guinardó,2024-03-01,2024,3,330,249.0,43041.0,10.336610967002471,0,509.6,-179.6,463.8,-133.8
63,el Guinardó,Horta-Guinardó,2024-04-01,2024,4,359,249.0,43041.0,10.336610967002471,0,471.2,-112.2,435.9,-76.9
63,el Guinardó,Horta-Guinardó,2024-05-01,2024,5,393,249.0,43041.0,10.336610967002471,0,491.8,-98.8,489.1,-96.1
63,el Guinardó,Horta-Guinardó,2024-06-01,2024,6,413,249.0,43041.0,10.336610967002471,0,532.7,-119.7,476.7,-63.7
63,el Guinardó,Horta-Guinardó,2024-07-01,2024,7,445,249.0,43041.0,10.336610967002471,0,541.8,-96.8,484.2,-39.2
63,el Guinardó,Horta-Guinardó,2024-08-01,2024,8,303,249.0,43041.0,10.336610967002471,0,530.1,-227.1,463.4,-160.4
63,el Guinardó,Horta-Guinardó,2024-09-01,2024,9,369,249.0,43041.0,10.336610967002471,0,487.7,-118.7,492.6,-123.6
63,el Guinardó,Horta-Guinardó,2024-10-01,2024,10,434,249.0,43041.0,10.336610967002471,0,501.2,-67.2,445.3,-11.3
63,el Guinardó,Horta-Guinardó,2024-11-01,2024,11,378,249.0,43041.0,10.336610967002471,0,512.8,-134.8,461.9,-83.9
63,el Guinardó,Horta-Guinardó,2024-12-01,2024,12,404,249.0,43041.0,10.336610967002471,0,494.1,-90.1,441.1,-37.1
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-01-01,2023,1,834,239.0,47309.0,9.13061857122728,0,882.9,-48.9,876.3,-42.3
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-02-01,2023,2,881,239.0,47309.0,9.13061857122728,0,968.9,-87.9,982.2,-101.2
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-03-01,2023,3,977,239.0,47309.0,9.13061857122728,0,914.4,62.6,1002.2,-25.2
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-04-01,2023,4,871,239.0,47309.0,9.13061857122728,0,942.6,-71.6,929.8,-58.8
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-05-01,2023,5,948,239.0,47309.0,9.13061857122728,0,977.3,-29.3,1054.5,-106.5
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-06-01,2023,6,1001,239.0,47309.0,9.13061857122728,0,1155.4,-154.4,1151.0,-150.0
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-07-01,2023,7,1032,239.0,47309.0,9.13061857122728,0,975.0,57.0,1062.2,-30.2
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-08-01,2023,8,843,239.0,47309.0,9.13061857122728,0,957.1,-114.1,957.4,-114.4
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-09-01,2023,9,981,239.0,47309.0,9.13061857122728,0,902.3,78.7,962.1,18.9
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-10-01,2023,10,925,239.0,47309.0,9.13061857122728,0,1017.6,-92.6,1019.1,-94.1
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-11-01,2023,11,864,239.0,47309.0,9.13061857122728,0,922.2,-58.2,905.0,-41.0
64,el Parc i la Llacuna del Poblenou,Sant Martí,2023-12-01,2023,12,931,239.0,47309.0,9.13061857122728,0,890.0,41.0,945.3,-14.3
64,el Parc i la Llacuna del Poblenou,Sant Martí,2024-01-01,2024,1,496,239.0,47309.0,9.13061857122728,0,894.9,-398.9,890.3,-394.3
64,el Parc i la Llacuna del Poblenou,Sant Martí,2024-02-01,2024,2,568,239.0,47309.0,9.13061857122728,0,710.0,-142.0,692.1,-124.1
64,el Parc i la Llacuna del Poblenou,Sant Martí,2024-03-01,2024,3,600,239.0,47309.0,9.13061857122728,0,774.3,-174.3,734.6,-134.6
